date,Keywords,RelativePopularity,Type,Origin,Loc
2004-01-01,Burger,15.0,Mains,American,Worldwide
2004-02-01,Burger,14.0,Mains,American,Worldwide
2004-03-01,Burger,16.0,Mains,American,Worldwide
2004-04-01,Burger,18.0,Mains,American,Worldwide
2004-05-01,Burger,17.0,Mains,American,Worldwide
2004-06-01,Burger,16.0,Mains,American,Worldwide
2004-07-01,Burger,17.0,Mains,American,Worldwide
2004-08-01,Burger,16.0,Mains,American,Worldwide
2004-09-01,Burger,15.0,Mains,American,Worldwide
2004-10-01,Burger,15.0,Mains,American,Worldwide
2004-11-01,Burger,16.0,Mains,American,Worldwide
2004-12-01,Burger,15.0,Mains,American,Worldwide
2005-01-01,Burger,17.0,Mains,American,Worldwide
2005-02-01,Burger,17.0,Mains,American,Worldwide
2005-03-01,Burger,21.0,Mains,American,Worldwide
2005-04-01,Burger,20.0,Mains,American,Worldwide
2005-05-01,Burger,23.0,Mains,American,Worldwide
2005-06-01,Burger,20.0,Mains,American,Worldwide
2005-07-01,Burger,19.0,Mains,American,Worldwide
2005-08-01,Burger,18.0,Mains,American,Worldwide
2005-09-01,Burger,17.0,Mains,American,Worldwide
2005-10-01,Burger,20.0,Mains,American,Worldwide
2005-11-01,Burger,17.0,Mains,American,Worldwide
2005-12-01,Burger,16.0,Mains,American,Worldwide
2006-01-01,Burger,18.0,Mains,American,Worldwide
2006-02-01,Burger,19.0,Mains,American,Worldwide
2006-03-01,Burger,20.0,Mains,American,Worldwide
2006-04-01,Burger,18.0,Mains,American,Worldwide
2006-05-01,Burger,20.0,Mains,American,Worldwide
2006-06-01,Burger,20.0,Mains,American,Worldwide
2006-07-01,Burger,20.0,Mains,American,Worldwide
2006-08-01,Burger,19.0,Mains,American,Worldwide
2006-09-01,Burger,18.0,Mains,American,Worldwide
2006-10-01,Burger,19.0,Mains,American,Worldwide
2006-11-01,Burger,19.0,Mains,American,Worldwide
2006-12-01,Burger,17.0,Mains,American,Worldwide
2007-01-01,Burger,19.0,Mains,American,Worldwide
2007-02-01,Burger,19.0,Mains,American,Worldwide
2007-03-01,Burger,20.0,Mains,American,Worldwide
2007-04-01,Burger,19.0,Mains,American,Worldwide
